feedback_id,source,date,user_id,feedback_text,sentiment
FB-093,Support Ticket,2025-02-06,user-878,The lack of mobile features is frustrating; I need everything in one place.,Negative
FB-094,App Store Review,2025-01-20,user-844,The reporting templates are very basic. More advanced options would be appreciated.,Neutral
FB-095,Survey,2025-02-15,user-491,"I’m glad to see improvements, but I still have concerns about mobile usability.",Neutral
FB-096,Twitter Mention,2025-06-22,user-703,Thanks for the new search feature! It’s been a huge time saver for me.,Positive
FB-097,Support Ticket,2025-07-08,user-617,The app is missing essential filtering options that would greatly improve functionality.,Negative
FB-098,App Store Review,2025-02-15,user-111,Love the updates! Just need better automated backup options to keep my data safe.,Positive
FB-099,Survey,2024-03-20,user-955,The mobile interface is functional but could use a more modern design.,Neutral
FB-100,Twitter Mention,2024-05-31,user-950,Can we please get advanced reporting templates? They would be super helpful!,Neutral
FB-101,Support Ticket,2024-05-12,user-650,Very happy with the new reporting features! They help track everything effectively.,Positive
FB-102,App Store Review,2024-10-04,user-457,"The app is solid, but I am still disappointed by the lack of a backup feature.",Negative
FB-103,Survey,2025-06-22,user-966,"The updates have been great, but please work on the mobile interface further.",Neutral
FB-104,Twitter Mention,2025-02-16,user-665,Amazing improvements on the search feature! What a time-saver!,Positive
FB-105,Support Ticket,2025-01-06,user-261,The app really needs automated backups for security purposes.,Negative
FB-106,App Store Review,2025-06-02,user-168,Great app! Just need those advanced reporting templates to really shine.,Neutral
FB-107,Survey,2024-01-19,user-617,"The new search functionality is fantastic, but more filtering options would help.",Neutral
FB-108,Twitter Mention,2024-09-22,user-266,"The mobile experience is getting better, but still needs improvements.",Neutral
FB-109,Support Ticket,2025-04-27,user-266,"I find the app useful, but the lack of advanced filtering is a drawback.",Negative
FB-110,App Store Review,2025-07-09,user-288,"The updates are nice, but I wish there were more options for automated backups.",Neutral
FB-111,Survey,2025-03-03,user-331,"Happy with the improvements, particularly the search feature!",Positive
FB-112,Twitter Mention,2024-05-09,user-839,Just a suggestion: add advanced filtering! It would really enhance productivity.,Neutral
FB-113,Support Ticket,2025-06-24,user-913,"I’m loving the new interface, but the reporting tools are still quite basic.",Neutral
FB-114,App Store Review,2025-02-28,user-286,The search feature is vastly improved! I can find everything I need.,Positive
FB-115,Survey,2024-03-16,user-287,Automated backup options would definitely make me feel more secure using this app.,Positive
FB-116,Twitter Mention,2024-05-23,user-498,"The mobile web interface is decent, but could still be more user-friendly.",Neutral
FB-117,Support Ticket,2025-04-04,user-350,"The improved search speed is fantastic, but we still need better reporting options.",Neutral
FB-118,App Store Review,2025-05-27,user-806,"I really like the app, but the lack of advanced filtering is frustrating.",Negative
FB-119,Survey,2024-09-25,user-842,"The app is nice overall, but I think advanced reporting is essential for my work.",Neutral
FB-120,Twitter Mention,2024-08-22,user-243,Loving the new search feature! It’s made finding projects a breeze.,Positive
FB-121,Support Ticket,2025-04-02,user-677,Please prioritize the addition of automated backups; they are crucial for my workflow.,Negative
FB-122,App Store Review,2024-07-03,user-482,Good progress on the mobile interface! Just wish reporting features were better.,Neutral
FB-123,Survey,2025-01-17,user-767,"I think the app is on the right track, but it could use more advanced tools.",Neutral
FB-124,Twitter Mention,2025-01-28,user-261,The reporting templates are quite generic. Advanced options would be appreciated!,Negative
FB-125,Support Ticket,2024-03-16,user-481,"The updated search is a great improvement, but still needs work on reports.",Neutral
FB-126,App Store Review,2024-12-02,user-773,Fantastic updates! Just need more advanced options for reporting templates.,Neutral
FB-127,Survey,2024-08-07,user-677,"The new mobile interface is much better, but it's still missing some features.",Neutral
FB-128,Twitter Mention,2024-07-21,user-118,Just had a great experience with the new search feature! Very user-friendly!,Positive
FB-129,Support Ticket,2025-06-04,user-965,I hope the next update includes advanced filtering options; they are much needed.,Neutral
FB-130,App Store Review,2024-01-12,user-100,"The app has improved significantly, but I still crave better automated backup solutions.",Negative
FB-131,Survey,2024-10-01,user-598,The updated search functionality makes a huge difference; love it!,Positive
FB-132,Twitter Mention,2024-08-19,user-738,Can we have an option for advanced reporting templates soon? It would help a lot!,Neutral
FB-133,Support Ticket,2025-07-14,user-711,"Overall, I’m happy with the app, but the lack of advanced reporting is a setback.",Neutral
FB-134,App Store Review,2024-07-24,user-406,The mobile web interface is decent; just need faster performance.,Neutral
FB-135,Survey,2025-04-07,user-587,The search feature has improved a lot! I'm really happy with the progress.,Positive
FB-136,Twitter Mention,2024-10-24,user-211,I need more advanced reporting templates to properly track my projects.,Negative
FB-137,Support Ticket,2025-01-29,user-247,"The app is solid, but I still find the mobile web interface lacking.",Negative
FB-138,App Store Review,2025-07-02,user-752,"I appreciate the updates, but I wish there were more advanced filtering options.",Neutral
FB-139,Survey,2024-08-09,user-880,"The mobile version is better, but I still have some issues with its functionality.",Neutral
FB-140,Twitter Mention,2025-06-26,user-314,Great work on the improved search! Makes everything quicker.,Positive
FB-141,Support Ticket,2024-04-05,user-449,"The app is good, but automated backups should be a priority.",Negative
FB-142,App Store Review,2024-04-27,user-283,"I like the new dashboard features, but reporting templates could use enhancement.",Neutral
FB-143,Survey,2024-07-27,user-903,"The mobile interface is getting better, but still needs user improvements.",Neutral
FB-144,Twitter Mention,2024-02-27,user-161,The new search feature is awesome! Thank you for the update!,Positive
FB-145,Support Ticket,2025-02-18,user-242,"I find the app pretty useful, but I'm frustrated by the lack of advanced filtering options.",Negative
FB-146,App Store Review,2024-07-02,user-411,The reporting options are very limited. I hope to see improvements soon.,Neutral
FB-147,Survey,2024-05-09,user-797,I think the automated backup feature would be a great security measure for users.,Positive
FB-148,Twitter Mention,2024-04-12,user-439,Very happy with the updated search functionality! Makes project management easier.,Positive
FB-149,Support Ticket,2024-12-18,user-159,Can we please consider adding advanced filtering options? It would be extremely helpful.,Neutral
FB-001,Support Ticket,2024-12-22,user-654,I am having a hard time uploading larger files; it keeps failing due to size limits.,Negative
FB-002,App Store Review,2025-03-08,user-402,"Great app overall, but the new dashboard is quite confusing compared to the old one.",Negative
FB-003,Survey,2024-07-25,user-271,"I appreciate the task management features, but I really need advanced filtering options.",Neutral
FB-004,Twitter Mention,2024-09-15,user-381,The file upload size limit is really frustrating. Can this be increased?,Negative
FB-005,Support Ticket,2024-06-01,user-588,Browser compatibility issues with Safari are making it difficult to use the app.,Negative
FB-006,App Store Review,2025-03-02,user-655,"Really love how intuitive the interface is, just wish the permissions settings were clearer.",Positive
FB-007,Survey,2025-05-17,user-954,"The new dashboard layout could use some improvement, it's not user-friendly.",Negative
FB-008,Twitter Mention,2025-02-28,user-426,I’d like to see advanced filtering options added to the project views.,Neutral
FB-009,Support Ticket,2024-05-13,user-996,I can't upload my presentation files because they exceed the file size limit.,Negative
FB-010,App Store Review,2025-02-23,user-620,Awesome tool! Just encountered a glitch while accessing it on Firefox.,Positive
FB-011,Survey,2024-12-30,user-604,Can you please clarify how user permissions work? I'm confused about the settings.,Neutral
FB-012,Twitter Mention,2024-06-18,user-320,The new dashboard is messy; I preferred the previous layout much more.,Negative
FB-013,Support Ticket,2024-10-22,user-589,"I have issues with the app on Safari, it crashes frequently.",Negative
FB-014,App Store Review,2024-12-21,user-960,"I love the ease of use! However, the file upload limit is a bit too low for my needs.",Positive
FB-015,Survey,2024-12-05,user-423,The project management features are good but could benefit from more filtering options.,Neutral
FB-016,Twitter Mention,2024-09-10,user-425,Is anyone else having trouble with uploading files? The limit is too restrictive.,Negative
FB-017,Support Ticket,2024-06-07,user-402,I really dislike the new dashboard; it feels cluttered and hard to navigate.,Negative
FB-018,App Store Review,2024-07-04,user-136,Fantastic app! Just a bit confused about the user permissions settings.,Positive
FB-019,Survey,2025-03-29,user-775,The filters in the task view are basic. I need more advanced options.,Neutral
FB-020,Twitter Mention,2024-08-19,user-889,I can't believe the file upload limit is still an issue! It needs to be higher.,Negative
FB-021,Support Ticket,2024-08-17,user-682,The app doesn’t work properly in Firefox. Please fix this issue.,Negative
FB-022,App Store Review,2024-10-29,user-366,"I appreciate the updates, but the new dashboard is confusing.",Negative
FB-023,Survey,2025-07-19,user-564,User permissions are not intuitive at all. Please simplify this feature.,Neutral
FB-024,Twitter Mention,2025-07-22,user-193,I wish there were more options for filtering tasks. It would be a game changer!,Neutral
FB-025,Support Ticket,2025-01-12,user-946,It's so frustrating trying to upload larger files; the limit is too low.,Negative
FB-026,App Store Review,2025-03-09,user-142,I really enjoy using this app! Just wish the browser issues were resolved.,Positive
FB-027,Survey,2024-08-26,user-857,"The interface is much better now, but the new dashboard could use a tutorial.",Neutral
FB-028,Twitter Mention,2024-04-23,user-658,Does anyone else find the new dashboard confusing? I miss the old layout.,Negative
FB-029,Support Ticket,2024-03-29,user-377,Uploading files is a nightmare. The size limit is too restrictive for my work.,Negative
FB-030,App Store Review,2024-02-20,user-290,"Everything works well, but the user permissions are confusing.",Positive
FB-031,Survey,2025-03-15,user-825,Advanced filtering options would definitely enhance my experience with this app.,Neutral
FB-032,Twitter Mention,2024-12-27,user-996,Why am I having issues with the app on Safari? It keeps crashing!,Negative
FB-033,Support Ticket,2025-03-03,user-601,I'm struggling with the new dashboard layout. It’s not very intuitive.,Negative
FB-034,App Store Review,2024-12-26,user-350,This is an excellent tool for project management! But it needs better file upload support.,Positive
FB-035,Survey,2025-01-09,user-478,User permissions settings are hard to understand. Please provide better guidance.,Neutral
FB-036,Twitter Mention,2024-05-08,user-899,I really need the file upload limits increased for larger projects!,Negative
FB-037,Support Ticket,2025-06-21,user-462,"The new dashboard may look good, but it's very confusing to navigate.",Negative
FB-038,App Store Review,2025-06-27,user-240,Great features overall! I just wish it worked better on Firefox.,Positive
FB-039,Survey,2025-03-29,user-323,More advanced filtering options would help tailor it to my needs.,Neutral
FB-040,Twitter Mention,2024-10-03,user-782,The confusion with user permissions is frustrating... How does it even work?,Negative
FB-041,Support Ticket,2024-06-19,user-659,"The app crashes on Safari, which makes it hard to use effectively.",Negative
FB-042,App Store Review,2024-02-13,user-474,"Love the new updates, but wish the file uploads could handle larger sizes.",Positive
FB-043,Survey,2024-02-02,user-231,User permissions need a complete overhaul; I can't figure out how to adjust them.,Neutral
FB-044,Twitter Mention,2025-04-01,user-641,I feel lost on the new dashboard. Can someone help me navigate it?,Negative
FB-045,Support Ticket,2025-04-03,user-943,The file upload process needs to be more accommodating for large files.,Negative
FB-046,App Store Review,2024-06-01,user-850,Fantastic app but really needs better browser compatibility.,Positive
FB-047,Survey,2024-07-11,user-417,Would appreciate a clearer explanation of user permissions settings.,Neutral
FB-048,Twitter Mention,2024-12-23,user-323,I'm really struggling with the new dashboard layout. It’s not user-friendly.,Negative
FB-049,Support Ticket,2024-01-06,user-263,The upload size limit is making it hard to share my work with the team.,Negative
FB-050,App Store Review,2024-07-12,user-280,I really enjoy using this app! Just wish the file upload limit was higher.,Positive
FB-051,Survey,2024-05-15,user-467,Advanced filtering options would enhance the overall functionality.,Neutral
FB-052,Twitter Mention,2025-07-25,user-108,Is anyone else experiencing issues with the file upload size? I can't upload my documents!,Negative
FB-053,Support Ticket,2024-10-29,user-922,The dashboard is overwhelming and not easy to use; I miss the old design.,Negative
FB-054,App Store Review,2024-05-22,user-277,"Great features, but the browser compatibility issues need to be fixed.",Positive
FB-055,Survey,2024-11-16,user-118,The lack of advanced filtering makes it difficult to manage tasks efficiently.,Neutral
FB-056,Twitter Mention,2025-05-20,user-516,Can someone explain how the user permissions work? I'm so confused.,Negative
FB-057,Support Ticket,2024-01-01,user-419,I'm really struggling with the file upload limits during my projects.,Negative
FB-058,App Store Review,2025-01-26,user-707,The app is fantastic! Just encountered issues with Firefox compatibility.,Positive
FB-059,Survey,2025-07-01,user-306,User permissions are unclear; I would appreciate detailed instructions.,Neutral
FB-060,Twitter Mention,2024-08-21,user-916,Why can’t I upload larger files? This is really frustrating!,Negative
FB-061,Support Ticket,2025-07-05,user-703,The new dashboard design is not working for me; it’s too cluttered.,Negative
FB-062,App Store Review,2024-10-04,user-943,"I love the new features! However, the file upload size limit is problematic.",Positive
FB-063,Survey,2024-12-18,user-368,Would love to see advanced filtering options added in the future.,Neutral
FB-064,Twitter Mention,2025-01-02,user-872,The app crashes on Safari! What's going on?,Negative
FB-065,Support Ticket,2024-01-15,user-506,I find the new dashboard layout confusing and hard to navigate.,Negative
FB-066,App Store Review,2024-05-27,user-494,Great tool for team collaboration! Just wish it was more compatible with Safari.,Positive
FB-067,Survey,2024-03-16,user-138,More advanced filtering options would be greatly appreciated.,Neutral
FB-068,Twitter Mention,2024-02-28,user-652,Can someone help me understand user permissions? It’s really complicated!,Negative
FB-069,Support Ticket,2024-07-22,user-258,The file upload size is way too small for my projects.,Negative
FB-070,App Store Review,2024-11-16,user-365,I really enjoy this app! Just wish it would work better on Firefox.,Positive
FB-071,Survey,2025-04-28,user-807,"The new dashboard is nice, but a bit overwhelming at first.",Neutral
FB-072,Twitter Mention,2024-12-11,user-815,I can't believe I can’t upload my files! The limit is too low!,Negative
FB-073,Support Ticket,2024-10-12,user-285,Having issues with user permissions. It’s not intuitive.,Negative
FB-074,App Store Review,2024-01-01,user-286,"Overall a great experience, but the new dashboard is confusing.",Positive
FB-075,Survey,2025-05-16,user-761,Would love to see advanced filtering options in task management.,Neutral
FB-076,Twitter Mention,2024-12-04,user-883,Why is there a limit on file uploads? It should be higher for professionals.,Negative
FB-077,Support Ticket,2024-06-11,user-741,The app doesn’t function well in Safari. It keeps crashing on me.,Negative
FB-078,App Store Review,2024-03-28,user-863,Love the design! The file upload limit could use an upgrade though.,Positive
FB-079,Survey,2024-03-21,user-596,User permissions settings are not user-friendly. Please fix this.,Neutral
FB-080,Twitter Mention,2024-12-11,user-646,Struggling to find my way around the new dashboard. It's really confusing.,Negative
FB-081,Support Ticket,2025-06-12,user-306,The upload limit is a major roadblock for my project submissions.,Negative
FB-082,App Store Review,2024-12-17,user-882,Fantastic app! But it needs to address browser compatibility issues.,Positive
FB-083,Survey,2024-01-27,user-752,I need more advanced filtering options to manage my tasks effectively.,Neutral
FB-084,Twitter Mention,2024-04-02,user-278,How come I can’t upload larger files? This is so annoying!,Negative
FB-085,Support Ticket,2024-02-19,user-769,The new dashboard is cluttered; I miss the simplicity of the old one.,Negative
FB-086,App Store Review,2025-05-02,user-939,"Great features overall, just needs better user permissions clarity.",Positive
FB-087,Survey,2024-05-11,user-517,The advanced filtering options are a must-have for better organization.,Neutral
FB-088,Twitter Mention,2025-02-17,user-700,User permissions are so confusing! Can someone help me with that?,Negative
FB-089,Support Ticket,2024-12-27,user-988,The file upload limit is not sufficient for my team's needs.,Negative
FB-090,App Store Review,2024-04-03,user-388,Amazing app! But it would be great if it worked better on Firefox.,Positive
FB-091,Survey,2024-09-09,user-714,User permissions are not clear. More guidance would help.,Neutral
FB-092,Twitter Mention,2024-11-03,user-718,"I wish the file upload limit was higher, it’s quite restrictive.",Negative
FB-093,Support Ticket,2025-06-06,user-168,I find the new dashboard layout quite challenging to use.,Negative
FB-094,App Store Review,2024-08-19,user-439,The app is very helpful! Just facing issues with the file upload size.,Positive
FB-095,Survey,2025-01-28,user-374,It would be great if advanced filtering options were implemented soon.,Neutral
FB-096,Twitter Mention,2025-01-24,user-393,Why can’t I upload my files? The limit is ridiculous!,Negative
FB-097,Support Ticket,2025-02-09,user-603,The app keeps crashing on Safari. This needs to be fixed.,Negative
FB-098,App Store Review,2025-02-17,user-140,I like the app! But the new dashboard is too complicated for me.,Positive
FB-099,Survey,2024-06-16,user-941,The user permissions settings need to be simplified for better understanding.,Neutral
FB-100,Twitter Mention,2024-01-29,user-563,I really need to upload larger files! The current limit is too low.,Negative
FB-101,Support Ticket,2024-03-04,user-792,The new dashboard is confusing; I can’t find what I need.,Negative
FB-102,App Store Review,2024-04-24,user-956,"Great application! Though, it should allow for larger file uploads.",Positive
FB-103,Survey,2025-02-15,user-619,Advanced filtering options would definitely improve my experience.,Neutral
FB-104,Twitter Mention,2024-11-21,user-266,Can anyone explain the user permissions? I’m lost.,Negative
FB-105,Support Ticket,2025-05-29,user-889,I’m encountering problems with file uploads; the limit is frustrating.,Negative
FB-106,App Store Review,2025-05-06,user-332,"Amazing features, but it has browser compatibility issues.",Positive
FB-107,Survey,2024-05-29,user-446,User permissions are unclear. More tutorials would help.,Neutral
FB-108,Twitter Mention,2024-10-11,user-110,Is anyone else having trouble with the file size limit? It’s driving me crazy!,Negative
FB-109,Support Ticket,2024-08-06,user-400,The confusion with the new dashboard layout is overwhelming.,Negative
FB-110,App Store Review,2024-06-05,user-562,Really enjoy using the app! Just wish the file upload limits were increased.,Positive
FB-111,Survey,2024-10-15,user-856,I would really appreciate more advanced filtering options for my projects.,Neutral
FB-112,Twitter Mention,2025-06-18,user-838,I can't believe the app won’t allow larger file uploads!,Negative
FB-113,Support Ticket,2024-02-14,user-600,The user permissions are hard to navigate; I’m confused.,Negative
FB-114,App Store Review,2024-04-13,user-516,Fantastic UI! Just facing issues with Firefox compatibility.,Positive
FB-115,Survey,2024-04-11,user-801,The new dashboard is cluttered; it should be more streamlined.,Neutral
FB-116,Twitter Mention,2025-03-17,user-500,I really need the ability to upload larger files! This is a limitation.,Negative
FB-117,Support Ticket,2025-05-21,user-889,There’s too much confusion over the user permissions settings.,Negative
FB-118,App Store Review,2024-08-25,user-160,I love this application! Please work on fixing the browser issues.,Positive
FB-119,Survey,2025-06-29,user-675,It would be helpful to add advanced filtering options soon.,Neutral
FB-120,Twitter Mention,2024-04-04,user-183,Why can't I upload my files? The size restriction is so annoying!,Negative
FB-121,Support Ticket,2024-07-29,user-863,The app is crashing on Safari often; please address this.,Negative
FB-122,App Store Review,2025-04-15,user-914,Great app! But I find the new dashboard layout confusing.,Positive
FB-123,Survey,2024-05-10,user-555,User permissions need to be clearer; they’re too complicated.,Neutral
FB-124,Twitter Mention,2024-08-25,user-627,I wish the file upload limit was higher for larger projects.,Negative
FB-125,Support Ticket,2024-09-20,user-457,The new dashboard is frustrating to navigate.,Negative
FB-126,App Store Review,2024-10-20,user-216,Love the app! Just wish it was more compatible with Firefox.,Positive
FB-127,Survey,2025-02-26,user-625,Advanced filtering options would really help in managing tasks.,Neutral
FB-128,Twitter Mention,2024-04-21,user-191,Can someone help me with the user permissions? It’s quite confusing!,Negative
FB-129,Support Ticket,2024-06-24,user-544,The file upload limit is making it very difficult to share resources.,Negative
FB-130,App Store Review,2025-02-08,user-472,The app is amazing! Just need better guidance on user permissions.,Positive
FB-131,Survey,2024-01-18,user-502,I need more advanced filtering options to improve workflow.,Neutral
